"cluster","centrality","density","size","cluster_title","cluster_members","sample_members","department"
1,6.8,0.138461538461538,40,"iman","iman; anak; media; digital; keluarga; pewartaan; orang tua; video; doa bersama; instagram; keluarga katolik; pendidik; remaja; aplikasi; design thinking; doa; e-katolik; formatio iman berjenjang; formatio iman berkelanjutan; metode pastoral; peran; youtube; ecclesia domestica; facebook; keluarga kawin campur; komunitas; media sosial; pendidikan seksualitas; perempuan; putra putri altar; pendampingan pastoral; pewarta; podcast; asisten imam; karakter; pastoral belas kasih; orang sakit; suster; persekutuan; tantangan hidup berkeluarga","iman; anak; media; digital; keluarga; pewartaan; orang tua; video; doa bersama; instagram","PAK"
2,5.14705882352941,0.110516934046346,34,"orang muda katolik","orang muda katolik; katekese; penghayatan; hidup menggereja; keterlibatan; devosi; audio visual; film; hidup memasyarakat; partisipasi aktif; santa theresia; sakramen penguatan; christus vivit; hidup bermasyarakat majemuk; keikutsertaan; kisah sengsara yesus; maria; paus fransiskus; studi kasus; permasalahan hidup; peragaan; toleransi beragama; ekumene; evaluasi; hidup perkawinan; minat; srawung lintas iman; sakramen rekonsiliasi; remaja katolik; shared christian praxis; reksa pastoral jangka panjang; renungan harian; moderasi beragama; sakramen ekaristi","orang muda katolik; katekese; penghayatan; hidup menggereja; keterlibatan; devosi; audio visual; film; hidup memasyarakat; partisipasi aktif","PAK"
3,4.36,0.163333333333333,25,"pendidikan agama katolik","pendidikan agama katolik; budi pekerti; guru; tpack; lingkungan hidup; pendidikan karakter; kultur sekolah; materi pembelajaran; sakramen babtis; circle paradigma; hasil belajar; kesadaran; laudato si'; pembelajaran berdiferensiasi; pendidikan dominikan; problem based learning; sabda bahagia; veritas; kesulitan belajar; pembelajaran berbasis projek; pembelajaran kontekstual; strategi pembelajaran; terlibat dalam pelestarian; charitas persaudaraan; kebangkitan dan kenaikan yesus ke surga","pendidikan agama katolik; budi pekerti; guru; tpack; lingkungan hidup; pendidikan karakter; kultur sekolah; materi pembelajaran; sakramen babtis; circle paradigma","PAK"
4,4.58333333333333,0.152173913043478,24,"spiritualitas","spiritualitas; bunda maria; gua maria; peziarah; suster yunior; kesehatan mental; teladan hidup; dewan pastoral paroki; film pendek; hidup berkomunitas; ignasian; ketaatan; keutamaan maria; maria hamba allah; pengampunan; santo yusup; tugas pelayanan; agama katolik; kongregasi masf; misdinar; pendiri; santo tarsisius; makna hidup; prodiakon","spiritualitas; bunda maria; gua maria; peziarah; suster yunior; kesehatan mental; teladan hidup; dewan pastoral paroki; film pendek; hidup berkomunitas","PAK"
5,4.66666666666667,0.5,9,"ekologis","ekologis; pastoral; pertobatan; ekologi; ensiklik laudato si'; pelestarian; kinerja perutusan; kunjungan lansia; pelayanan usia lanjut","ekologis; pastoral; pertobatan; ekologi; ensiklik laudato si'; pelestarian; kinerja perutusan; kunjungan lansia; pelayanan usia lanjut","PAK"
6,4.8,0.173684210526316,20,"umat","umat; pemahaman; lansia; adorasi; keaktifan; sakramen mahakudus; perayaan ekaristi; doa rosario; hidup berbangsa; injil; lectio divina; misi; novena kebangsaan; visi; buku cetak; inkulturasi; kunjungan pastoral; minggu; tarian adat; karya kerasulan","umat; pemahaman; lansia; adorasi; keaktifan; sakramen mahakudus; perayaan ekaristi; doa rosario; hidup berbangsa; injil","PAK"
7,4,1,5,"alleluya","alleluya; keberterimaan; mazmur tanggapan; nyanyian; teori difusi inovasi","alleluya; keberterimaan; mazmur tanggapan; nyanyian; teori difusi inovasi","PAK"
8,3,1,4,"anak alam","anak alam; metode mengajar; pendidikan alternatif; sekolah sanggar","anak alam; metode mengajar; pendidikan alternatif; sekolah sanggar","PAK"
9,2,1,3,"berdoa","berdoa; online; whatshapp","berdoa; online; whatshapp","PAK"
10,4.61538461538461,0.320512820512821,13,"persaudaraan","persaudaraan; budaya; ekaristi; imlek; inkulturatif; katekese kebangsaan; manusiawi; perjumpaan; tionghoa; fransiskan; santo fransiskus; kaum muda; persekutuan umat","persaudaraan; budaya; ekaristi; imlek; inkulturatif; katekese kebangsaan; manusiawi; perjumpaan; tionghoa; fransiskan","PAK"
11,2,1,3,"daya tarik","daya tarik; motivasi; ziarah","daya tarik; motivasi; ziarah","PAK"
12,3,0.6,6,"tantangan","tantangan; hidup berkeluarga; kristiani; zaman modern; kesetiaan; perkawinan","tantangan; hidup berkeluarga; kristiani; zaman modern; kesetiaan; perkawinan","PAK"
13,2,1,3,"iklim pembelajaran","iklim pembelajaran; pendidikan pemerdekaan; religiusitas","iklim pembelajaran; pendidikan pemerdekaan; religiusitas","PAK"
14,2,1,3,"jenis kelamin","jenis kelamin; profil keluarga kristiani; sikap ketarakanitaan","jenis kelamin; profil keluarga kristiani; sikap ketarakanitaan","PAK"
15,1,1,2,"katekese bersama lansia","katekese bersama lansia; usia senja","katekese bersama lansia; usia senja","PAK"
16,3,1,4,"kebahagiaan","kebahagiaan; kesejahteraan; pasutri; perkawinan katolik","kebahagiaan; kesejahteraan; pasutri; perkawinan katolik","PAK"
17,2,1,3,"kedalaman iman","kedalaman iman; pedagogi reflektif; refleksi","kedalaman iman; pedagogi reflektif; refleksi","PAK"
18,2.66666666666667,0.466666666666667,6,"orang muda","orang muda; kepengurusan; lintas iman; panggilan; paroki; toleransi","orang muda; kepengurusan; lintas iman; panggilan; paroki; toleransi","PAK"
19,1,1,2,"motivasi belajar","motivasi belajar; spiritualitas ignasian","motivasi belajar; spiritualitas ignasian","PAK"
