"cluster","centrality","density","size","cluster_title","cluster_members","sample_members","department"
1,5.97435897435897,0.11336032388664,39,"berbicara","berbicara; keterampilan berbicara; video; mendengarkan; instagram; kesalahan; bahan ajar tambahan; bahan ajar; keterampilan mendengarkan; tiktok; bermain peran; kata benda; pengucapan; pembelajaran berbasis gim; diftong; bahasa gaul; berbicara publik; dialek digital; kepercayaan diri; klub; pembelajaran berbasis tugas; messenger; autonomi; gelar wicara; komunikasi; takarir; lintas budaya; akurasi; berbicara spontan; formasi kata; hambatan; idiom; kecerdasan majemuk; kehidupan spiritual; kemampuan berbicara; whole brain teaching; pola diftong; konten edukasi; respons kritis","berbicara; keterampilan berbicara; video; mendengarkan; instagram; kesalahan; bahan ajar tambahan; bahan ajar; keterampilan mendengarkan; tiktok","PBI"
2,3.78571428571429,0.252747252747253,14,"lagu","lagu; lirik; album musik; bahasa figuratif; duka cita; metafora; tahapan berduka; video musik; broken home; sosiologi; afiks infleksi; fonologi; hiperbola; film serial","lagu; lirik; album musik; bahasa figuratif; duka cita; metafora; tahapan berduka; video musik; broken home; sosiologi","PBI"
3,4.6,0.0663461538461538,65,"film","film; novel; analisis tokoh; motivasi; tokoh utama; skrip; kepribadian; perkembangan kepribadian; buku; kata; moral; nilai pendidikan; nonfiksi; feminisme; feminisme liberal; dampak negatif; gaya bahasa; ketekunan; manusia; relasi; serial film; studi psikoanalisis; tokoh minor; teknologi; antagonis; aktualisasi diri; analisis psikologis; analisis sosiolinguistik; fitur bahasa; konflik psikologis; mekanisme coping; pembelaan diri; realitas psikologis; trauma; trauma masa kecil; slang; identitas ganda; tanggung jawab; trader; strategi coping; trauma psikologis; ekspresi idiomatik; analisis biografi; bom atom; bunuh diri; ciri-ciri kepribadian; debat presidensial; diskriminasi gender; elemen intrinsik; karakter minor; kecerdasan spiritual; kedewasaan emosional; kepemimpinan; literasi; maskulinitas hegemonik; skrip film; studi gender; sejarah; puisi; karakteristik; pidato politik; jenis kelamin; perlindungan diri; cinta; mekanisme pertahanan diri","film; novel; analisis tokoh; motivasi; tokoh utama; skrip; kepribadian; perkembangan kepribadian; buku; kata","PBI"
4,6.84444444444444,0.119191919191919,45,"persepsi","persepsi; menulis; tata bahasa; kecemasan; ai; pengalaman hidup; menulis akademik; motivasi belajar; pengetahuan; kecemasan berbicara; presentasi; teks deskriptif; teks naratif; chatgpt; keterampilan menulis; canva; digital; hasil belajar; keterampilan menjelaskan; kompetensi menulis; menjelaskan; perangkat lunak; storytelling; simulasi; flipped learning; efikasi diri; keyakinan; literasi digital; parafrase; partisipasi; quillbot; bahasa asing; film bisu; grammarly; mind mapping; padlet; pengalaman; twitter; aktivitas pembelajaran; daftar kata akademik; menulis deskriptif; metode pengajaran; penghargaan; metakognitif; organisasi","persepsi; menulis; tata bahasa; kecemasan; ai; pengalaman hidup; menulis akademik; motivasi belajar; pengetahuan; kecemasan berbicara","PBI"
5,6.34615384615385,0.178461538461538,26,"kosakata","kosakata; game; media; permainan; kartu; media pembelajaran; kata sifat; aplikasi; korelasi; wordwall; cerita; flashcard; kitab suci; mobile; papan; ular tangga; ekspresi bahasa; keterampilan membaca; percakapan sehari-hari; telop; akhiran; gambar; game online; monopoli; mobile legends; klausa","kosakata; game; media; permainan; kartu; media pembelajaran; kata sifat; aplikasi; korelasi; wordwall","PBI"
6,4.14285714285714,0.263736263736264,14,"membaca","membaca; kooperatif; komprehensi; website; jigsaw; buku cerita; identitas seminarian; membaca ekstensif; minat; minat baca; mreader; analisis butir soal; istilah; peminjaman leksikal","membaca; kooperatif; komprehensi; website; jigsaw; buku cerita; identitas seminarian; membaca ekstensif; minat; minat baca","PBI"
7,4.52941176470588,0.205882352941176,17,"keterlibatan","keterlibatan; kolaborasi; berpikir kritis; pembelajaran kolaboratif; gamifikasi; keterampilan bahasa inggris; media sosial; penggemar; sepak bola; google docs; keterlibatan afektif; pembelajaran daring; refleksi; keterampilan kolaborasi; keterlibatan perilaku; nearpod; pendekatan berbasis genre","keterlibatan; kolaborasi; berpikir kritis; pembelajaran kolaboratif; gamifikasi; keterampilan bahasa inggris; media sosial; penggemar; sepak bola; google docs","PBI"
8,3.69230769230769,0.269230769230769,13,"umpan balik","umpan balik; pengajaran; umpan balik sejawat; pendahuluan; penutupan; performa mengajar; kelas mikro; keterampilan menanya; keterampilan penegasan; keterampilan pengajaran; menanya; penegasan; stimulus","umpan balik; pengajaran; umpan balik sejawat; pendahuluan; penutupan; performa mengajar; kelas mikro; keterampilan menanya; keterampilan penegasan; keterampilan pengajaran","PBI"
9,4,0.208333333333333,16,"guru","guru; pascapandemi; studi kasus; tantangan; bahasa inggris; bahasa pengantar; hukuman; kelakuan buruk; kurikulum merdeka; lms; akm; kelas luring; kesiapan; kesulitan; keterampilan sosial; merdeka belajar","guru; pascapandemi; studi kasus; tantangan; bahasa inggris; bahasa pengantar; hukuman; kelakuan buruk; kurikulum merdeka; lms","PBI"
10,1,1,2,"abstrak","abstrak; evaluasi","abstrak; evaluasi","PBI"
11,3.2,0.6,5,"alih kode","alih kode; youtube; campur kode; vlog; siniar","alih kode; youtube; campur kode; vlog; siniar","PBI"
12,1,1,2,"analisis karakter","analisis karakter; teori kebutuhan","analisis karakter; teori kebutuhan","PBI"
13,1,1,2,"analisis ucapan","analisis ucapan; arkatipe","analisis ucapan; arkatipe","PBI"
14,3.33333333333333,0.466666666666667,6,"buku teks","buku teks; gender; citra; swaajar; representasi gender; turis","buku teks; gender; citra; swaajar; representasi gender; turis","PBI"
15,2,1,3,"bunyi schwa","bunyi schwa; surah; terjemahan","bunyi schwa; surah; terjemahan","PBI"
16,4.25,0.571428571428571,8,"calon guru","calon guru; emosi; pembelajaran hibrida; pembelajaran riil; praktik mengajar; identitas; karier; praktik pengajaran","calon guru; emosi; pembelajaran hibrida; pembelajaran riil; praktik mengajar; identitas; karier; praktik pengajaran","PBI"
17,2,0.5,5,"modul","modul; desainer grafis; modul-el; panduan tur; sopir","modul; desainer grafis; modul-el; panduan tur; sopir","PBI"
18,3,1,4,"frasa preposisi","frasa preposisi; fungsi ucapan; iklan; slogan","frasa preposisi; fungsi ucapan; iklan; slogan","PBI"
19,2,1,3,"gawai elektronik","gawai elektronik; kompetensi bahasa inggris; rumah","gawai elektronik; kompetensi bahasa inggris; rumah","PBI"
20,2,1,3,"kata isian","kata isian; pidato; pidato spontan","kata isian; pidato; pidato spontan","PBI"
21,2.33333333333333,1,3,"pembelajaran berbasis projek","pembelajaran berbasis projek; kepuasan; pembelajaran bahasa inggris","pembelajaran berbasis projek; kepuasan; pembelajaran bahasa inggris","PBI"
22,1,1,2,"strategi topangan","strategi topangan; topangan","strategi topangan; topangan","PBI"
