"cluster","centrality","density","size","cluster_title","cluster_members","sample_members","department"
1,4.39393939393939,0.125,33,"novel","novel; perempuan; feminisme; tokoh utama; citra; perlawanan; diskriminasi; feminisme ideologis; feminisme marxis; terjemahan; majas perbandingan; broken home; kepribadian; penokohan; perempunan; perjuangan; respons emosi; stigma negatif; trauma kejiwaan; konflik batin; karakter; kesepadanan gramatikal; makna tokoh; memori; perjuangan hidup; surah; teks keagamaan; transmisi memori; sosial; ekologi; kekerasan; tradisi lisan; realitas sosial","novel; perempuan; feminisme; tokoh utama; citra; perlawanan; diskriminasi; feminisme ideologis; feminisme marxis; terjemahan","PBSI"
2,6.05263157894737,0.137980085348506,38,"guru","guru; membaca; motivasi; identitas; membaca akademik; resiliensi; efikasi diri; keterlibatan; komprehensi; minat; korelasi; kurikulum merdeka; buku teks; kesejahteraan; persepsi diri; regulasi dari; pembelajaran daring; agensi; keyakinan epistemik; membaca kritis; sikap; kebutuhan siswa; persepsi; pencarian bantuan; profesionalisme; menulis kreatif; budaya lokal; desain mundur; experiential learning; gender; keberlanjutan; pengetahuan linguistik; manajemen emosi; religius; panti asuhan; kepemimpinan; siswa; sikap membaca","guru; membaca; motivasi; identitas; membaca akademik; resiliensi; efikasi diri; keterlibatan; komprehensi; minat","PBSI"
3,3.33333333333333,0.361111111111111,9,"instagram","instagram; tuturan kebencian; bahasa gaul; kreativitas; kreativitas linguistik; fungsi bahasa; ketidaksantunan berbahasa; pembentukan bahasa; twitter","instagram; tuturan kebencian; bahasa gaul; kreativitas; kreativitas linguistik; fungsi bahasa; ketidaksantunan berbahasa; pembentukan bahasa; twitter","PBSI"
4,5.59090909090909,0.229437229437229,22,"media","media; media pembelajaran; puisi; canva; modul; penutur asing; kuis; kuis interaktif; swaajar; audio visual; drama; film dokumenter; infografis; modul pembelajaran; musikalisasi puisi; teks prosedur; animasi; karya ilmiah; modul digital; keterampilan membaca; penghambat; penghambat linguistik","media; media pembelajaran; puisi; canva; modul; penutur asing; kuis; kuis interaktif; swaajar; audio visual","PBSI"
5,4.44,0.163333333333333,25,"film","film; youtube; tindak tutur ilokusi; video; kesantunan berbahasa; pemilu; tindak tutur direktif; argumentasi; kebijakan publik; politik; tindak tutur komisif; wacana; campur kode; alih kode; jawa; kehidupan sehari-hari; tokoh; tuturan; remaja; dialog; program acara; cura personalis; interaksi sosial; konflik sosial; tutur tindak ilokusi","film; youtube; tindak tutur ilokusi; video; kesantunan berbahasa; pemilu; tindak tutur direktif; argumentasi; kebijakan publik; politik","PBSI"
6,2.2,0.222222222222222,10,"multimodalitas","multimodalitas; cerita rakyat; cerita pendek; digital; nilai sosial; unsur intrinsik; buku; buku ajar; kerusakan alam; masalah sosial","multimodalitas; cerita rakyat; cerita pendek; digital; nilai sosial; unsur intrinsik; buku; buku ajar; kerusakan alam; masalah sosial","PBSI"
7,4.76923076923077,0.333333333333333,13,"gaya bahasa","gaya bahasa; televisi; iklan; makanan berat; makanan ringan; slogan; siniar; kerja sama; majas pertautan; majas pertentangan; maksim; acara komedi; bahasa sindiran","gaya bahasa; televisi; iklan; makanan berat; makanan ringan; slogan; siniar; kerja sama; majas pertautan; majas pertentangan","PBSI"
8,5.33333333333333,0.144827586206897,30,"menulis","menulis; metakognitif; strategi metakognitif; keterampilan menulis; menulis akademik; kesadaran metakognitif; kesalahan; berbicara; instrumen; keterampilan berbicara; strategi; regulasi emosi; teks berita; penekanan kata; wordwall; curriculum vitae; fiksi; ingin tahu; kohesi gramatikal; kohesi leksikal; lamaran kerja; surat dinas; surat; regulasi motivasi; autonomi; bahasa indonesia; berinovasi; berkreasi; pengumuman; surat tugas","menulis; metakognitif; strategi metakognitif; keterampilan menulis; menulis akademik; kesadaran metakognitif; kesalahan; berbicara; instrumen; keterampilan berbicara","PBSI"
9,4.58823529411765,0.257352941176471,17,"lagu","lagu; anak; emosi; album musik; lirik; bercerita; disabilitas; gaya bahasa kiasan; hiponim; keyakinan; kosakata; pantomim; sinonim; syair; tuli; teknologi; permasalah sosial","lagu; anak; emosi; album musik; lirik; bercerita; disabilitas; gaya bahasa kiasan; hiponim; keyakinan","PBSI"
10,2.75,0.392857142857143,8,"berita","berita; media massa; berita daring; merdeka belajar; representasi; wacana kritis; struktur pemberitaan; penanda wacana","berita; media massa; berita daring; merdeka belajar; representasi; wacana kritis; struktur pemberitaan; penanda wacana","PBSI"
11,2,1,3,"abstrak","abstrak; modalitas; skripsi","abstrak; modalitas; skripsi","PBSI"
12,3.2,0.7,5,"analisis tokoh","analisis tokoh; game; mobile legends; permainan; komik","analisis tokoh; game; mobile legends; permainan; komik","PBSI"
13,2,1,3,"antropologi","antropologi; budaya; legenda","antropologi; budaya; legenda","PBSI"
14,3.25,1,4,"moral","moral; aspek linguistik; etika; kearifan lokal","moral; aspek linguistik; etika; kearifan lokal","PBSI"
15,3,1,4,"bahasa nonverbal","bahasa nonverbal; pasar tradisional; pembeli; penjual","bahasa nonverbal; pasar tradisional; pembeli; penjual","PBSI"
16,1,1,2,"baju adat","baju adat; makna simbolik","baju adat; makna simbolik","PBSI"
17,2,1,3,"efek pragmatis","efek pragmatis; kitab suci; strategi retoris","efek pragmatis; kitab suci; strategi retoris","PBSI"
18,1,1,2,"eksplorasi naratif","eksplorasi naratif; sosial emosional","eksplorasi naratif; sosial emosional","PBSI"
19,5,0.571428571428571,8,"teks tanggapan","teks tanggapan; hasil belajar; problem based learning; kooperatif; motivasi belajar; stad; kemampuan menulis; teks persuasif","teks tanggapan; hasil belajar; problem based learning; kooperatif; motivasi belajar; stad; kemampuan menulis; teks persuasif","PBSI"
20,3,0.6,6,"serial film","serial film; humor verbal; interjeksi; komedi; pancasila; pendidikan karakter","serial film; humor verbal; interjeksi; komedi; pancasila; pendidikan karakter","PBSI"
21,1,1,2,"interferensi","interferensi; tuturan tanya","interferensi; tuturan tanya","PBSI"
22,2,1,3,"kepolisian","kepolisian; register militer; tentara","kepolisian; register militer; tentara","PBSI"
23,2,1,3,"komentator","komentator; makna semantis; sepak bola","komentator; makna semantis; sepak bola","PBSI"
