"cluster","centrality","density","size","cluster_title","cluster_members","sample_members","department"
1,5.41666666666667,0.348484848484849,12,"literasi sains","literasi sains; evaluasi; ekologi; instrumen; sistem imun; menjelaskan fenomena ilmiah; merancang penyelidikan ilmiah; sistem gerak; bioteknologi; sistem gerak manusia; buku ajar; geschool","literasi sains; evaluasi; ekologi; instrumen; sistem imun; menjelaskan fenomena ilmiah; merancang penyelidikan ilmiah; sistem gerak; bioteknologi; sistem gerak manusia","PBio"
2,6.66666666666667,0.210144927536232,24,"hasil belajar","hasil belajar; motivasi belajar; pembelajaran berbasis projek; minat belajar; problem based learning; perubahan lingkungan; kooperatif; sistem ekskresi; discovery learning; flipped learning; keaktifan; animalia; kepedulian lingkungan; laboratorium virtual; tgt; tps; fenomena ilmiah; interpersonal; jaringan hewan; kecerdasan majemuk; pascapembelajaran daring; sscs; gallery walk; keanekaragaman hayati","hasil belajar; motivasi belajar; pembelajaran berbasis projek; minat belajar; problem based learning; perubahan lingkungan; kooperatif; sistem ekskresi; discovery learning; flipped learning","PBio"
3,5,0.333333333333333,10,"media","media; online; video; animasi; powerpoint; digital; pemanasan global; sistem peredaran darah; sistem reproduksi manusia; game","media; online; video; animasi; powerpoint; digital; pemanasan global; sistem peredaran darah; sistem reproduksi manusia; game","PBio"
4,5.41666666666667,0.318181818181818,12,"persepsi","persepsi; profil pelajar pancasila; penilaian harian; guru; karakter; kepedulian linkungan; penilaian berbasis kertas; sistem reproduksi; literasi digital; covid-19; pascapandemi; sistem regulasi","persepsi; profil pelajar pancasila; penilaian harian; guru; karakter; kepedulian linkungan; penilaian berbasis kertas; sistem reproduksi; literasi digital; covid-19","PBio"
5,3.33333333333333,0.6,6,"kesulitan belajar","kesulitan belajar; biologi; komparasi; nonbiologi; hereditas; ipa","kesulitan belajar; biologi; komparasi; nonbiologi; hereditas; ipa","PBio"
6,4.25,0.392857142857143,8,"pembelajaran berdiferensiasi","pembelajaran berdiferensiasi; kurikulum merdeka; virus; modul ajar; inovasi teknologi biologi; kesiapan; kesulitan; keterampilan 6c","pembelajaran berdiferensiasi; kurikulum merdeka; virus; modul ajar; inovasi teknologi biologi; kesiapan; kesulitan; keterampilan 6c","PBio"
7,2,0.666666666666667,3,"berpikir kritis","berpikir kritis; ekosistem; learning cycle 7e","berpikir kritis; ekosistem; learning cycle 7e","PBio"
8,4,1,4,"disiplin","disiplin; masa transisi; pembelajaran daring; pembelajaran luring","disiplin; masa transisi; pembelajaran daring; pembelajaran luring","PBio"
9,3.71428571428571,0.619047619047619,7,"program adiwiyata","program adiwiyata; hemat energi; listrik; perilaku; sumber daya air; hasil tanam; partisipasi","program adiwiyata; hemat energi; listrik; perilaku; sumber daya air; hasil tanam; partisipasi","PBio"
10,2,1,3,"keterampilan proses","keterampilan proses; praktikum; sistem pencernaan","keterampilan proses; praktikum; sistem pencernaan","PBio"
11,1,1,2,"minat kunjungan","minat kunjungan; perpustakaan","minat kunjungan; perpustakaan","PBio"
12,2,1,3,"mobilitas manusia","mobilitas manusia; model pembelajaran; sople","mobilitas manusia; model pembelajaran; sople","PBio"
