"cluster","centrality","density","size","cluster_title","cluster_members","sample_members","department"
1,5,0.316666666666667,16,"hasil belajar","hasil belajar; problem based learning; media; media pembelajaran; partisipasi belajar; lkpd; berpikir kritis; assemblr edu; distraksi smartphone; flipped learning; kemandirian; minat belajar; inkuiri; inkuiri terbimbing; modul; modul-el","hasil belajar; problem based learning; media; media pembelajaran; partisipasi belajar; lkpd; berpikir kritis; assemblr edu; distraksi smartphone; flipped learning","PE Ekonomi"
2,4.33333333333333,0.254901960784314,18,"literasi keuangan","literasi keuangan; pendapatan; e-wallet; keluarga muda; kepuasan keuangan; keputusan pembelian; perilaku keuangan; gaya hidup; pengelolaan keuangan; jumlah kendaraan; kelompok referensi; kesadaran kelestarian lingkungan; konrol diri; konsumsi bbm; uang saku; motivasi konsumen; citra merek; harga","literasi keuangan; pendapatan; e-wallet; keluarga muda; kepuasan keuangan; keputusan pembelian; perilaku keuangan; gaya hidup; pengelolaan keuangan; jumlah kendaraan","PE Ekonomi"
3,4.38461538461539,0.346153846153846,13,"pertumbuhan ekonomi","pertumbuhan ekonomi; indeks pembangunan manusia; kemiskinan; pengangguran terbuka; covid-19; pandemi; belanja modal; desentralisasi fiskal; pendapatan perkapita; pengangguran; ratio gini; pertumbuhan ekonomi daerah; upah minimum","pertumbuhan ekonomi; indeks pembangunan manusia; kemiskinan; pengangguran terbuka; covid-19; pandemi; belanja modal; desentralisasi fiskal; pendapatan perkapita; pengangguran","PE Ekonomi"
4,3,1,4,"angka partisipasi sekolah","angka partisipasi sekolah; lapangan kerja informal; pekerja anak; penduduk miskin","angka partisipasi sekolah; lapangan kerja informal; pekerja anak; penduduk miskin","PE Ekonomi"
5,3,1,4,"budaya organisasi","budaya organisasi; iklim organisasi; kinerja guru; pelatihan kerja","budaya organisasi; iklim organisasi; kinerja guru; pelatihan kerja","PE Ekonomi"
6,2,1,3,"cu","cu; keuangan; pearls","cu; keuangan; pearls","PE Ekonomi"
7,4.375,0.275,16,"efikasi diri","efikasi diri; motivasi belajar; persepsi; guru; kemandirian belajar; kooperatif; orang tua; teman sebaya; stad; ekspektasi pendapatan; fasilitas belajar; kesulitan belajar; kewirausahaan; lingkungan keluarga; minat berwirausaha; lingkungan belajar","efikasi diri; motivasi belajar; persepsi; guru; kemandirian belajar; kooperatif; orang tua; teman sebaya; stad; ekspektasi pendapatan","PE Ekonomi"
8,1,1,2,"fluktuasi harga","fluktuasi harga; kopi","fluktuasi harga; kopi","PE Ekonomi"
9,3.66666666666667,0.416666666666667,9,"investasi","investasi; upah minimum provinsi; indeks ketimpangan gender; inflasi; lama sekolah; partisipasi angkatan kerja wanita; pengeluaran pemerintah; produk domestik regional bruto; tenaga kerja","investasi; upah minimum provinsi; indeks ketimpangan gender; inflasi; lama sekolah; partisipasi angkatan kerja wanita; pengeluaran pemerintah; produk domestik regional bruto; tenaga kerja","PE Ekonomi"
10,1,1,2,"konflik pendidik","konflik pendidik; manajemen konflik","konflik pendidik; manajemen konflik","PE Ekonomi"
11,2,1,3,"magang","magang; praktik pengajaran; sikap","magang; praktik pengajaran; sikap","PE Ekonomi"
12,4,1,5,"minat","minat; pendidikan; penghasilan kelompok acuan; penghasilan orang tua; perguruan tinggi","minat; pendidikan; penghasilan kelompok acuan; penghasilan orang tua; perguruan tinggi","PE Ekonomi"
13,3,1,4,"pengguna internet","pengguna internet; perusahaan penyedia jaringan; produk domestik bruto; startup","pengguna internet; perusahaan penyedia jaringan; produk domestik bruto; startup","PE Ekonomi"
