"cluster","centrality","density","size","cluster_title","cluster_members","sample_members","department"
1,5.8,0.466666666666667,10,"hasil belajar","hasil belajar; motivasi belajar; problem based learning; eksperimen; pemahaman konsep; alat optik; energi terbarukan; flipped learning; kalor dan perpindahan kalor; minat belajar","hasil belajar; motivasi belajar; problem based learning; eksperimen; pemahaman konsep; alat optik; energi terbarukan; flipped learning; kalor dan perpindahan kalor; minat belajar","PFis"
2,3.5,0.5,8,"analisis video","analisis video; momen inersia; software tracker; bola jatuh; gerak menggelinding; viskositas gliserin; alat peraga; arduino uno","analisis video; momen inersia; software tracker; bola jatuh; gerak menggelinding; viskositas gliserin; alat peraga; arduino uno","PFis"
3,4,0.571428571428571,7,"modul-el","modul-el; heyzine; website; aplikasi; elastisitas dan hukum hooke; gerak parabola; dinamika gerak","modul-el; heyzine; website; aplikasi; elastisitas dan hukum hooke; gerak parabola; dinamika gerak","PFis"
4,4.125,0.5,8,"inkuiri","inkuiri; prestasi belajar; difraksi; karakter; profil pelajar pancasila; discovery learning; kalor; disiplin belajar","inkuiri; prestasi belajar; difraksi; karakter; profil pelajar pancasila; discovery learning; kalor; disiplin belajar","PFis"
5,5,1,6,"analisis bunyi","analisis bunyi; frekuensi resonansi; gamelan; logger pro; sensor bunyi; software","analisis bunyi; frekuensi resonansi; gamelan; logger pro; sensor bunyi; software","PFis"
6,4.33333333333333,0.6,6,"momentum dan impuls","momentum dan impuls; diskusi; eksperimen terbimbing; karakter sosial; literasi sains; peer tutoring","momentum dan impuls; diskusi; eksperimen terbimbing; karakter sosial; literasi sains; peer tutoring","PFis"
7,2,1,3,"gaya magnet","gaya magnet; sensor arus; sensor gaya","gaya magnet; sensor arus; sensor gaya","PFis"
8,4.27272727272727,0.4,11,"keterampilan proses","keterampilan proses; laboratorium virtual; hukum archimedes; panduan praktikum mandiri; phet; simulsi; laki-laki; perempuan; phet simulation; rangkaian listrik; usaha dan energi","keterampilan proses; laboratorium virtual; hukum archimedes; panduan praktikum mandiri; phet; simulsi; laki-laki; perempuan; phet simulation; rangkaian listrik","PFis"
9,2,1,3,"karbondioksida","karbondioksida; konstanta boltzmann; persamaan umum gas ideal","karbondioksida; konstanta boltzmann; persamaan umum gas ideal","PFis"
10,2,1,3,"kekeruhan air","kekeruhan air; serapan cahaya; turbidimeter","kekeruhan air; serapan cahaya; turbidimeter","PFis"
