"cluster","centrality","density","size","cluster_title","cluster_members","sample_members","department"
1,9.21111111111111,0.0789013732833957,90,"modul","modul; pembelajaran berbasis projek; modul ajar; berpikir kritis; ips; ipa; ipas; bahasa indonesia; hots; berpikir kreatif; pembelajaran berdiferensiasi; modul pembelajaran; komunikasi; kolaborasi; kooperatif; sumber energi; literasi digital; kerja sama; pengambilan keputusan; wujud zat dan perubahannya; gotong royong; jenis pekerjaan; stad; sistem pencernaan pada manusia; gaya magnet; jigsaw; kondisi geografis indonesia; listrik; magnet; pendidikan pancasila; discovery learning; kreativitas; alat indera pada manusia dan pemeliharaannya; melihat karena cahaya; mempertahankan kedaulatan bangsa; pancasila; siklus air; perkembangbiakan tumbuhan; etika informasi; kebebasan berekspresi; bagian-bagian pada tumbuhan; berbagai peninggalan sejarah di indonesia; cahaya, bunyi, dan peristiwa alam; cerita tentang daerahku; daerahku; fotosintensis; gaya di sekitar kita; gaya terhadap benda; identitas diri; keberagaman budaya; kegiatan ekonomi; kerja sama asean; keterampilan abad-21; membangun jati diri dalam kebhinekaan; mengenal pantun; mengenal perasaan; menghargai perbedaan; pesawat sederhana; rantai makanan dan jaring-jaring makanan; sistem pernapasan pada manusia; tahap pertumbuhan manusia; saintifik; tumbuhan sumber kehidupan di bumi; pengukuran; aktivisme sosial; alat gerak dan sistem gerak hewan dan manusia; arti dan makna simbol pancasila; cahaya dan bunyi; daur hidup hewan dan tumbuhan; jurnalisme masyarakat; keamanan daring; keragaman; keseimbangan ekosistem; kewirausahaan; literasi sosial; membaca dan menulis alfabet; mengenal bagian-bagian bunga; negara kesatuan republik indonesia; privasi individu; struktur dan fungsi bagian-bagian tumbuhan; panca indera; pelestarian makhluk hidup; perkembangbiakan tumbuhan dan hewan; sistem pencernaan hewan ruminansia; sistem pernapasan manusia dan hewan; sumber daya alam hayati dan nonhayati; permasalahan lingkungan mengancam kehidupan; perubahan sosial budaya indonesia; proklamasi kemerdekaan indonesia; literasi kewirausahaan","modul; pembelajaran berbasis projek; modul ajar; berpikir kritis; ips; ipa; ipas; bahasa indonesia; hots; berpikir kreatif","PGSD"
2,7.52173913043478,0.245059288537549,23,"karakter","karakter; permainan tradisional; buku pedoman; pendidikan karakter; ingin tahu; tanggung jawab; kebaikan hati; kecerdasan sosial; senang belajar; integritas; keadilan; kepemimpinan; optimisme; cerita pendek; film; kesetiakawanan; tanggung jawab sosial; berwawasan luas; keterbukaan pikiran; optimis; pengetahuan; engklek; kasti","karakter; permainan tradisional; buku pedoman; pendidikan karakter; ingin tahu; tanggung jawab; kebaikan hati; kecerdasan sosial; senang belajar; integritas","PGSD"
3,1,1,2,"ekstrakurikuler","ekstrakurikuler; sains","ekstrakurikuler; sains","PGSD"
4,6.38805970149254,0.0714608774310267,67,"lkpd","lkpd; problem based learning; pedagogi reflektif; kurikulum 2022; sumber daya alam; inkuiri; literasi sains; kurikulum merdeka; laboratorium virtual; perangkat pembelajaran; indahnya kebersamaan; ekosistem; pemecahan masalah; keberagaman; fotosintesis; motivasi belajar; minat belajar; berintegritas; analisis wacana kritis; buku tematik; manfaat energi; di lingkungan sekitar; kosakata; multikultural; pengendalian diri; udara bersih; pentingnya makanan sehat; aku dan kebutuhanku; analisis data; ayo cintai lingkungan; bagian tubuh tumbuhan; berhemat energi; bilangan cacah besar; empati; hak dan kewajiban; hormat; interaksi manusia dengan lingkungan; keanekaragaman sosial budaya; keberagaman makhluk hidup di lingkunganku; keberanian; kegigihan; konstitusi dan norma di masyarakat; lingkungan dan manfaatnya; manusia dan lingkungan; mengubah energi; norma dan aturan; pancasial sebagai nilai kehidupan; persatuan dalam perbedaan; percaya diri; sopan santun; toleransi; perubahan wujud zat; sudut; teks deskripsi; siklus hidup hewan; sifat-sifat cahaya; rambu-rambu petunjuk; mengukur ph; pemanasan global; pembiasan cahaya; pengaruh gaya; perubahan energi; perubahan sifat benda; sistem pernapasan manusia; hebatnya cita-citaku; jenis-jenis pekerjaan; fenomena alam","lkpd; problem based learning; pedagogi reflektif; kurikulum 2022; sumber daya alam; inkuiri; literasi sains; kurikulum merdeka; laboratorium virtual; perangkat pembelajaran","PGSD"
5,5.28947368421053,0.106685633001422,38,"cerita bergambar","cerita bergambar; buku; kearifan lokal; literasi; profil pelajar pancasila; etnopedagogi; pembelajaran tematik; sbdp; tarian; upacara adat; berkebhinekaan global; kini aku menjadi lebih tertib; fungsi huruf kapital; literasi budaya; mengenal dan menghargai budaya; uma lengge; bahasa daerah; baju adat; dali ni horbo; kebudayaan; lampah mubeng beteng; mandhasiya; tas anjat; pencernaan; bayar harta; candi ijo; kain tapis lampung; musik; manfaat umbul brintik klaten; petualangan bertemu burung enggang; tradisi gumbreg bantul; tradisi labuhan merapi; tradisi sedekah bumi; tradisi kelahiran; beriman, bertakwa kepada tuhan yang maha esa, dan berakhlak mulia; beriman, bertaqwa kepada tuhan yang maha esa dan berakhlak mulia; berkebhinekaan; upacara pernikahan","cerita bergambar; buku; kearifan lokal; literasi; profil pelajar pancasila; etnopedagogi; pembelajaran tematik; sbdp; tarian; upacara adat","PGSD"
6,7.97029702970297,0.064950495049505,101,"media","media; matematika; hasil belajar; media pembelajaran; perkalian; permainan; montessori; video; bilangan cacah; ppkn; kemandirian; working memory; operasi hitung; penjumlahan; buku panduan; keaktifan; pecahan; monopoli; video pembelajaran; augmented reality; bangun datar; kedisiplinan; bangun ruang; pembagian; berhitung; animasi; evaluasi; kartu; membaca; bilangan; balok; kubus; nilai tempat; papan perkalian; kesopanan; ular tangga; aktivitas jasmani; flash card; fpb; kerucut satuan; kpk; prestasi belajar; menulis; tanggap budaya; uno stacko; executive function; covid-19; pengenalan huruf; 5w+1h; adaptasi makhluk hidup; anatomi tumbuhan; budaya; eksperimen; film pendek; gerak dasar; gerak dasar menari; jaring-jaring makanan; kaptihu; kelainan dan cara memelihara alat gerak manusia; komik digital; moana; papan berhitung; pemahaman konsep; pengelolaan uang; pengembaraan adiksimba; pengurangan; peta buta; pjok; struktur tumbuhan; membaca pemula; suku kata; pmri; perkembangbiakan makhluk hidup; sotarae; tts; rantai makanan; puzzle; alat peraga; atur kemudi diri; checkerboard; goal directed persistence; indra penglihatan; inhibitory control; kartu domino; lego block numbering; mistar bilangan; pasaran; pendidikan kewarganegaraan; perbandingan; pembuatan sabun cuci tangan cair alami; physical distancing; storytelling; keterampilan berbahasa; minat; religius; saling menghargai; guru; kejujuran; kemanusiaan; permainan edukatif; toleransi beragama","media; matematika; hasil belajar; media pembelajaran; perkalian; permainan; montessori; video; bilangan cacah; ppkn","PGSD"
7,5,0.142528735632184,30,"computational thinking","computational thinking; buku soal; numerasi; akm; literasi membaca; kontekstual; makanan sehat; soal; android; aplikasi; literasi menulis; olahan makanan singkong; prototipe; alat musik tradisional indonesia; benteng peninggalan bersejarah; candi buddha; desain pembelajaran; kerajaan islam di jawa; panas dan perpindahannya; udara bersih bagi kesehatan; rumah adat indonesia; kualitas soal; pra-akm; profesionalitas guru; fauna indonesia; flora indonesia; kuliner indonesia; tari tradisional; tempat wisata di indonesia; buku soal, numerasi","computational thinking; buku soal; numerasi; akm; literasi membaca; kontekstual; makanan sehat; soal; android; aplikasi","PGSD"
8,5,0.355555555555556,10,"google classroom","google classroom; rancangan pembelajaran; asean; peninggalan sejarah; jenis dan persebaran sumber daya alam; keragaman suku bangsa dan budaya; keragaman suku, bangsa, dan budaya; pemanfaatan dan pemeliharaan sda; peta; script","google classroom; rancangan pembelajaran; asean; peninggalan sejarah; jenis dan persebaran sumber daya alam; keragaman suku bangsa dan budaya; keragaman suku, bangsa, dan budaya; pemanfaatan dan pemeliharaan sda; peta; script","PGSD"
9,1,1,2,"anak","anak; kebugaran jasmani","anak; kebugaran jasmani","PGSD"
10,1,1,2,"etnografi pedagogi","etnografi pedagogi; upacara kematian","etnografi pedagogi; upacara kematian","PGSD"
11,2.33333333333333,1,3,"systematic literature review","systematic literature review; habits of mind; sekolah dasar","systematic literature review; habits of mind; sekolah dasar","PGSD"
12,4.75,1,4,"ramah lingkungan","ramah lingkungan; kata baku; kata tidak baku; kegiatan pembelajaran","ramah lingkungan; kata baku; kata tidak baku; kegiatan pembelajaran","PGSD"
13,3,1,4,"lagu anak","lagu anak; pemahaman; perubahan wujud benda; semangat","lagu anak; pemahaman; perubahan wujud benda; semangat","PGSD"
