"cluster","centrality","density","size","cluster_title","cluster_members","sample_members","department"
1,8.44117647058824,0.17825311942959,34,"pemahaman konsep","pemahaman konsep; media; desmos; media pembelajaran; hasil belajar; minat belajar; plsv; akm; bentuk aljabar; fungsi kuadrat; android; alat peraga; game; hubungan antarsudut; kesebangunan; teorema pythagoras; google sites; kahoot; keaktifan belajar; kecepatan dan debit; kognitif; kuis; lectora inspire; mathigon; musik; mit app inventor; saintifik; grafik; game edukasi; motivasi belajar; komik-el; komunikasi matematis; literasi digital; penggunaan handphone","pemahaman konsep; media; desmos; media pembelajaran; hasil belajar; minat belajar; plsv; akm; bentuk aljabar; fungsi kuadrat","PMat"
2,6.91111111111111,0.108080808080808,45,"etnomatematika","etnomatematika; modul; modul ajar; lkpd; modul-el; batik; trigonometri; modul pembelajaran; handout; makanan; segi empat; spldv; spltv; koneksi matematis; motivasi; perbandingan; candi; anyflip; aplikasi; bangun ruang; gereja; harga; kurikulum merdeka; literasi; museum; etnosteam; garis dan sudut; kain tenun; kecakapan abad 21; manajemen otak; mind mapping; transformasi geometri; persamaan linear; situs; tari; aktivitas fundamental matematika; aktivitas fundamental matematis; gamelan; kaidah pencacahan; perkawinan; kesenian jaranan; tradisi adat; bangunan tradisional; rumah adat; tradisi ruwat","etnomatematika; modul; modul ajar; lkpd; modul-el; batik; trigonometri; modul pembelajaran; handout; makanan","PMat"
3,7.18421052631579,0.122332859174964,38,"pemecahan masalah","pemecahan masalah; literasi matematika; problem based learning; bangun ruang sisi datar; kontekstual; statistika; aktivitas pembelajaran; mathcitymap; bahan ajar; bangun datar; pisa; bilangan bulat; peluang; ai; bingo; chatgpt; kerja sama; lingkungan; ruang dan bentuk; ukuran pemusatan data; soal; rangkaian pembelajaran; efikasi diri; gaya belajar; math trail; metakognisi; olahraga; perubahan dan hubungan; sptldv; sosial ekonomi; anuitas; kesulitan belajar; perbandingan berbalik nilai; persamaan kuadrat; literasi finansial; pendidikan multikultural; remediasi; permainan tradisional","pemecahan masalah; literasi matematika; problem based learning; bangun ruang sisi datar; kontekstual; statistika; aktivitas pembelajaran; mathcitymap; bahan ajar; bangun datar","PMat"
4,6.52173913043478,0.221343873517787,23,"berpikir kritis","berpikir kritis; berpikir kreatif; pembelajaran berbasis projek; computational thinking; robotika; kolaborasi; aljabar; komunikasi; etno-stem; pembelajaran steam; persamaan garis lurus; program linear; steam; open ended; balok dan limas; gender; geometri ruang; globalisasi; keberlanjutan; soal cerita; penalaran matematis; kerajinan; pembelajaran stem","berpikir kritis; berpikir kreatif; pembelajaran berbasis projek; computational thinking; robotika; kolaborasi; aljabar; komunikasi; etno-stem; pembelajaran steam","PMat"
5,5.94117647058824,0.213235294117647,17,"pmri","pmri; representasi matematis; disposisi matematis; barisan; deret; angklung; aritmetika; arsitektur; pembelajaran berdiferensiasi; refleksi; tata ruang rumah; bilangan berpangkat; kecerdasan logis; neurosains; nilai mutlak; logika proposisi; menggunakan data","pmri; representasi matematis; disposisi matematis; barisan; deret; angklung; aritmetika; arsitektur; pembelajaran berdiferensiasi; refleksi","PMat"
6,5.59259259259259,0.142450142450142,27,"numerasi","numerasi; geogebra; lkpd-el; video; segitiga; discovery learning; hots; bangun ruang sisi lengkung; dimensi tiga; kesalahan; video pembelajaran; irisan dua lingkaran; animasi; balok dan kubus; elpsa; keaktifan; kekongruenan; teori nolting; spasial; perangkat pembelajaran; video interaktif; adversity quotient; calon guru; korelasi; literasi data; model newman; penyajian data","numerasi; geogebra; lkpd-el; video; segitiga; discovery learning; hots; bangun ruang sisi lengkung; dimensi tiga; kesalahan","PMat"
7,1,1,2,"metakognitif-diskursif","metakognitif-diskursif; sistem kategori","metakognitif-diskursif; sistem kategori","PMat"
8,4.77777777777778,0.179487179487179,27,"python","python; covid-19; numeris; penambangan data; pendidikan; runge-kutta; metode hungarian; penugasan; jadwal; mengajar; new improved ones assignment; prediksi; seir; vaksinasi; adams-bashforth; epidemiologi; hukum pendinginan newton; jaringan kerja; moodle; pert; proposal; runga kutta fehlberg; waktu kematian; regresi logistik; algoritma gale-shapley; random forest; naive bayes","python; covid-19; numeris; penambangan data; pendidikan; runge-kutta; metode hungarian; penugasan; jadwal; mengajar","PMat"
9,5.14285714285714,0.476190476190476,7,"permainan","permainan; translasi; antusiasme; engklek; rancangan pembelajaran; bentuk geometris; kartu","permainan; translasi; antusiasme; engklek; rancangan pembelajaran; bentuk geometris; kartu","PMat"
10,1,1,2,"aritmetika sosial","aritmetika sosial; kecakapan vokasional","aritmetika sosial; kecakapan vokasional","PMat"
11,2,1,3,"ivam","ivam; ram; transportasi","ivam; ram; transportasi","PMat"
12,1,1,2,"klasifikasi","klasifikasi; support vector machine","klasifikasi; support vector machine","PMat"
13,1,1,2,"minimum spanning tree","minimum spanning tree; potensi perolehan","minimum spanning tree; potensi perolehan","PMat"
14,1,1,2,"optimalisasi antrean","optimalisasi antrean; sistem antrean","optimalisasi antrean; sistem antrean","PMat"
15,2,1,3,"orang tua","orang tua; persepsi; semangat belajar","orang tua; persepsi; semangat belajar","PMat"
16,1,1,2,"pajak kendaraan","pajak kendaraan; teori antrean","pajak kendaraan; teori antrean","PMat"
17,1,1,2,"peta","peta; pewarnaan graf","peta; pewarnaan graf","PMat"
18,2,1,3,"skripsi","skripsi; stres akademik; studi kasus","skripsi; stres akademik; studi kasus","PMat"
