"","cluster","centrality","density","size","cluster_title","cluster_members","sample_members","department","centrality_std","density_std"
"1",1,3.85,0.178947368421053,20,"motivasi belajar","motivasi belajar; game online; bermain; altruisme; experiential learning; kekerasan; layanan bimbingan klasikal; ketekunan belajar; mobile legends; waktu; pascapandemi; beasiswa; kemampuan pengelolaan emosi; pembelajaran daring; prososial; nonbeasiswa; penelitian tindakan; motivasi; pendapat siswa; judi online","motivasi belajar; game online; bermain; altruisme; experiential learning; kekerasan; layanan bimbingan klasikal; ketekunan belajar; mobile legends; waktu","BK",0.561885599196228,-0.588139971415233
"2",2,3.42857142857143,0.133333333333333,21,"resiliensi","resiliensi; pola asuh demokratis; self esteem; berpacaran; toxic relationship; pacaran; generasi z; pola asuh otoriter; kekerasan verbal; agresivitas; dewasa awal; kematangan karier; modul; relawan; sosial; bertanggung jawab; gaya kelekatan dewasa; hidup sehat; kepemimpinan heroik; overthinking; putus cinta","resiliensi; pola asuh demokratis; self esteem; berpacaran; toxic relationship; pacaran; generasi z; pola asuh otoriter; kekerasan verbal; agresivitas","BK",-0.158800451631362,-0.883241117888842
"3",3,4.375,0.464285714285714,8,"fenomenologi","fenomenologi; bekerja; kebahagiaan; paruh waktu; manajemen waktu; pasangan pranikah; seksual; kejenuhan belajar","fenomenologi; bekerja; kebahagiaan; paruh waktu; manajemen waktu; pasangan pranikah; seksual; kejenuhan belajar","BK",1.45968940827806,1.25786362891552
"4",4,4.34615384615385,0.138461538461538,26,"remaja","remaja; kepercayaan diri; harga diri; orang tua; dukungan sosial; fear of missing out; media sosial; perantau; teman sebaya; instagram; identitas diri; konsumtif; nonperantau; line; perceraian; regulasi; role player; produk online; smartphone; strategi coping; asertif; cyberbullying; emotional focused coping; komunikasi interpersonal; organisasi kemahasiswaan; prestasi belajar","remaja; kepercayaan diri; harga diri; orang tua; dukungan sosial; fear of missing out; media sosial; perantau; teman sebaya; instagram","BK",1.41035952865819,-0.850064065918438
"5",5,3.25,0.287878787878788,12,"studi kasus","studi kasus; panti asuhan; regulasi emosi; nonpanti asuhan; penari tradisional; penyakit menular seksual; pms; tari klasik; adaptasi sosial; bipolar; keunggualan pribadi; begadang","studi kasus; panti asuhan; regulasi emosi; nonpanti asuhan; penari tradisional; penyakit menular seksual; pms; tari klasik; adaptasi sosial; bipolar","BK",-0.464175896897294,0.116594584673827
"6",6,3.57142857142857,0.119047619047619,28,"studi deskriptif","studi deskriptif; penerimaan diri; kebermaknaan hidup sosial; pemaafan diri; rantau; self acceptance; self forgiveness; efikasi diri; kecerdasan emosional; kesejahteraan psikologis; layanan konseling individual; aktivis; amputasi; batak; body image; cerai gugat; diabetes; dunia kerja; janda; kecemasan; minat; resiliensi diri; pemilihan karier; anhedonia; body shaming; homoseksual; pendidikan karakter persaudaraan; prokrastinasi","studi deskriptif; penerimaan diri; kebermaknaan hidup sosial; pemaafan diri; rantau; self acceptance; self forgiveness; efikasi diri; kecerdasan emosional; kesejahteraan psikologis","BK",0.085499904581376,-0.975662905520683
"7",7,3.33333333333333,0.242424242424242,12,"jenis kelamin","jenis kelamin; pemimpin; pola asuh permisif; organisasi mahasiswa; profil sosial; wanita; anak usia dini; full day school; kematangan emosional; sosial emosi; pubertas; manajemen stres akademik","jenis kelamin; pemimpin; pola asuh permisif; organisasi mahasiswa; profil sosial; wanita; anak usia dini; full day school; kematangan emosional; sosial emosi","BK",-0.321667355773199,-0.177474739609314
"8",9,3.61538461538462,0.256410256410256,13,"asrama","asrama; indekos; keluarga; konsep diri; rumah; kesepian; penyesuaian diri; emotional quotient; kondisi keluarga asli; lingkungan sosial; perilaku konsumtif; memilih; kecemasan komunikasi interpersonal","asrama; indekos; keluarga; konsep diri; rumah; kesepian; penyesuaian diri; emotional quotient; kondisi keluarga asli; lingkungan sosial","BK",0.160669244954538,-0.0869918705991175
"9",10,3,0.6,6,"bimbingan kelompok","bimbingan kelompok; kemandirian; komik; media; home room; membolos","bimbingan kelompok; kemandirian; komik; media; home room; membolos","BK",-0.891701520269594,2.13587061141803
"10",21,2.44444444444444,0.277777777777778,9,"interpersonal","interpersonal; komunitas kebaya; konsumsi; kecanduan; minumal beralkohol; waria; keharmonisan keluarga; merokok; penari","interpersonal; komunitas kebaya; konsumsi; kecanduan; minumal beralkohol; waria; keharmonisan keluarga; merokok; penari","BK",-1.84175846109694,0.0512458459442418
"11",1,6.8,0.138461538461538,40,"iman","iman; anak; media; digital; keluarga; pewartaan; orang tua; video; doa bersama; instagram; keluarga katolik; pendidik; remaja; aplikasi; design thinking; doa; e-katolik; formatio iman berjenjang; formatio iman berkelanjutan; metode pastoral; peran; youtube; ecclesia domestica; facebook; keluarga kawin campur; komunitas; media sosial; pendidikan seksualitas; perempuan; putra putri altar; pendampingan pastoral; pewarta; podcast; asisten imam; karakter; pastoral belas kasih; orang sakit; suster; persekutuan; tantangan hidup berkeluarga","iman; anak; media; digital; keluarga; pewartaan; orang tua; video; doa bersama; instagram","PAK",1.90749193404167,-0.824942246049256
"12",2,5.14705882352941,0.110516934046346,34,"orang muda katolik","orang muda katolik; katekese; penghayatan; hidup menggereja; keterlibatan; devosi; audio visual; film; hidup memasyarakat; partisipasi aktif; santa theresia; sakramen penguatan; christus vivit; hidup bermasyarakat majemuk; keikutsertaan; kisah sengsara yesus; maria; paus fransiskus; studi kasus; permasalahan hidup; peragaan; toleransi beragama; ekumene; evaluasi; hidup perkawinan; minat; srawung lintas iman; sakramen rekonsiliasi; remaja katolik; shared christian praxis; reksa pastoral jangka panjang; renungan harian; moderasi beragama; sakramen ekaristi","orang muda katolik; katekese; penghayatan; hidup menggereja; keterlibatan; devosi; audio visual; film; hidup memasyarakat; partisipasi aktif","PAK",0.527359663513385,-0.975373531523405
"13",3,4.36,0.163333333333333,25,"pendidikan agama katolik","pendidikan agama katolik; budi pekerti; guru; tpack; lingkungan hidup; pendidikan karakter; kultur sekolah; materi pembelajaran; sakramen babtis; circle paradigma; hasil belajar; kesadaran; laudato si'; pembelajaran berdiferensiasi; pendidikan dominikan; problem based learning; sabda bahagia; veritas; kesulitan belajar; pembelajaran berbasis projek; pembelajaran kontekstual; strategi pembelajaran; terlibat dalam pelestarian; charitas persaudaraan; kebangkitan dan kenaikan yesus ke surga","pendidikan agama katolik; budi pekerti; guru; tpack; lingkungan hidup; pendidikan karakter; kultur sekolah; materi pembelajaran; sakramen babtis; circle paradigma","PAK",-0.129799403378729,-0.691052496921893
"14",4,4.58333333333333,0.152173913043478,24,"spiritualitas","spiritualitas; bunda maria; gua maria; peziarah; suster yunior; kesehatan mental; teladan hidup; dewan pastoral paroki; film pendek; hidup berkomunitas; ignasian; ketaatan; keutamaan maria; maria hamba allah; pengampunan; santo yusup; tugas pelayanan; agama katolik; kongregasi masf; misdinar; pendiri; santo tarsisius; makna hidup; prodiakon","spiritualitas; bunda maria; gua maria; peziarah; suster yunior; kesehatan mental; teladan hidup; dewan pastoral paroki; film pendek; hidup berkomunitas","PAK",0.0566739840627534,-0.751125844692619
"15",5,4.66666666666667,0.5,9,"ekologis","ekologis; pastoral; pertobatan; ekologi; ensiklik laudato si'; pelestarian; kinerja perutusan; kunjungan lansia; pelayanan usia lanjut","ekologis; pastoral; pertobatan; ekologi; ensiklik laudato si'; pelestarian; kinerja perutusan; kunjungan lansia; pelayanan usia lanjut","PAK",0.126253606242417,1.12129018971962
