AU;AF;CR;AB;AR;BE;BN;BP;C1;C3;CA;CL;CT;CY;DA;DE;DI;DT;EA;EF;EI;EM;EP;ER;FU;FX;GA;GP;HO;ID;IS;J9;JI;LA;NR;OA;OI;PA;PD;PG;PI;PM;PN;PT;PU;PY;RI;RP;SC;SE;SN;SO;SP;TC;TI;U1;U2;UT;VL;WC;WE;Z9;C1raw;DB;AU_UN;AU1_UN;AU_UN_NR;SR_FULL;SR
191114037;191114037;;;;;;;BK;;;;;;31/12/2024;"daya juang akademik; pembelajaran offline; pembelajaran online";;;;;;;;;;;;;;"daya juang akademik; pembelajaran offline; pembelajaran online";;;;;;;;;20221;;;;;;;2022;;;;;;;;;DAYA JUANG AKADEMIK MAHASISWA DALAM MENGIKUTI PEMBELAJARAN OFFLINE PASCA ONLINE;;;;;;;;;;;;;;
191114043;191114043;;;;;;;BK;;;;;;31/12/2024;"regulasi; smartphone; orang tua";;;;;;;;;;;;;;"regulasi; smartphone; orang tua";;;;;;;;;20221;;;;;;;2022;;;;;;;;;TINGKAT KEMAMPUAN ORANGTUA DALAM MEREGULASI PENGGUNAAN SMARTPHONE PADA ANAK USIA DINI DI TK KRISTEN SILOAM KOTA BARU;;;;;;;;;;;;;;
191114031;191114031;;;;;;;BK;;;;;;31/12/2024;"pendidikan karakter persaudaraan; studi deskriptif";;;;;;;;;;;;;;"pendidikan karakter persaudaraan; studi deskriptif";;;;;;;;;20221;;;;;;;2022;;;;;;;;;IMPLEMENTASI DAN KEBERMANFAATAN PENDIDIKAN KARAKTER PERSAUDARAAN PADA SISWA SMP CHARITAS JAKARTA ( STUDI DESKRIPTIF PELAKSANAAN DAN HASIL PENDIDIKAN KARAKTER PERSAUDARAAN PADA SISWA KELAS VIII);;;;;;;;;;;;;;
191114006;191114006;;;;;;;BK;;;;;;31/12/2024;"minat belajar; formasi cerdas dan humanis";;;;;;;;;;;;;;"minat belajar; formasi cerdas dan humanis";;;;;;;;;20221;;;;;;;2022;;;;;;;;;MINAT BELAJAR MAHASISWA BIMBINGAN DAN KONSELING ANGKATAN 2022 DALAM MENGIKUTI MATAKULIAH FORMASI CERDAS DAN HUMANIS;;;;;;;;;;;;;;
191114089;191114089;;;;;;;BK;;;;;;31/12/2024;"kecerdasan emosional; aktivis; studi deskriptif";;;;;;;;;;;;;;"kecerdasan emosional; aktivis; studi deskriptif";;;;;;;;;20221;;;;;;;2022;;;;;;;;;KECERDASAN EMOSIONAL MAHASISWA AKTIVIS KAMPUS (STUDI DESKRIPTIF PADA PENGURUS HMPS BK DAN DPM FKIP UNIVERSITAS SANATA DHARMA 2021/2022);;;;;;;;;;;;;;
191114090;191114090;;;;;;;BK;;;;;;31/12/2024;"perilaku konsumtif; indekos; rumah";;;;;;;;;;;;;;"perilaku konsumtif; indekos; rumah";;;;;;;;;20221;;;;;;;2022;;;;;;;;;PERBEDAAN PERILAKU KONSUMTIF ANTARA MAHASISWA YANG TINGGAL DI INDEKOS DAN DI RUMAH PADA PROGRAM STUDI BIMBINGAN DAN KONSELING UNIVERSITAS SANATA DHARMA;;;;;;;;;;;;;;
191114042;191114042;;;;;;;BK;;;;;;31/12/2024;"kecemasan akademik; mahasiswa baru";;;;;;;;;;;;;;"kecemasan akademik; mahasiswa baru";;;;;;;;;20221;;;;;;;2022;;;;;;;;;PERBEDAAN TINGKAT KECEMASAN AKADEMIK PADA MAHASISWA BARU PROGRAM STUDI BIMBINGAN DAN KONSELING UNIVERSITAS SANATA DHARMA ANGKATAN 2022 DITINJAU DARI JENIS KELAMIN;;;;;;;;;;;;;;
191114070;191114070;;;;;;;BK;;;;;;31/12/2024;"efikasi diri; dunia kerja; studi deskriptif";;;;;;;;;;;;;;"efikasi diri; dunia kerja; studi deskriptif";;;;;;;;;20221;;;;;;;2022;;;;;;;;;TINGKAT EFIKASI DIRI MAHASISWA SEMESTER AKHIR DALAM MEMPERSIAPKAN DUNIA KERJA (STUDI DESKRIPTIF PADA MAHASISWA SEMESTER AKHIR ANGKATAN 2019 PROGRAM STUDI BIMBINGAN DAN KONSELING UNIVERSITAS SANATA DHARMA);;;;;;;;;;;;;;
191114007;191114007;;;;;;;BK;;;;;;31/12/2024;interpersonal;;;;;;;;;;;;;;interpersonal;;;;;;;;;20221;;;;;;;2022;;;;;;;;;KOMPETENSI INTERPERSONAL PADA MAHASISWA TIMOR LESTE DI YOGYAKARTA;;;;;;;;;;;;;;
191114051;191114051;;;;;;;BK;;;;;;31/12/2024;"kesiapan berwirausaha; minat berwirausaha; wirausaha";;;;;;;;;;;;;;"kesiapan berwirausaha; minat berwirausaha; wirausaha";;;;;;;;;20221;;;;;;;2022;;;;;;;;;TINGKAT KESIAPAN BERWIRAUSAHA SISWA KELAS XII SMK NEGERI 6 YOGYAKARTA YANG MEMILIKI MINAT BERWIRAUSAHA TAHUN AJARAN 2022/2023;;;;;;;;;;;;;;
