Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,Authority,Hub,pageranks
modul,modul,90,330,4,0.468951,0.548135,8430.278429,0,0,0.231092,0.231093,0.01595
modul ajar,,45,163,4,0.408582,0.466514,1522.828925,0,0,0.130944,0.130944,0.007918
buku pedoman,,10,94,5,0.330566,0.353158,22.51682,1,0,0.012859,0.012859,0.002173
permainan tradisional,permainan tradisional,19,111,5,0.377261,0.414726,592.378055,1,0,0.03549,0.03549,0.00375
media,media,123,309,4,0.541409,0.619482,17832.373412,3,0,0.309128,0.309127,0.022187
media pembelajaran,media pembelajaran,57,114,4,0.454357,0.511796,2745.156632,3,0,0.168166,0.168166,0.010269
pendidikan karakter,pendidikan karakter,25,91,4,0.409346,0.449201,1826.372,1,0,0.046262,0.046262,0.005146
hasil belajar,hasil belajar,78,199,5,0.486127,0.552207,6450.12341,3,0,0.229471,0.229471,0.014037
hots,HOTS,18,56,5,0.362883,0.400266,268.538102,0,0,0.048116,0.048117,0.003481
lkpd,LKPD,52,146,4,0.436255,0.493341,4018.667411,1,0,0.13109,0.131091,0.009548
pedagogi reflektif,pedagogi reflektif,18,42,5,0.358429,0.3914,250.421412,1,0,0.035527,0.035527,0.003256
modul pembelajaran,,19,52,4,0.396739,0.432839,239.504258,0,0,0.065462,0.065463,0.003504
berpikir kritis,berpikir kritis,40,116,4,0.437562,0.485921,1295.274364,0,0,0.151885,0.151885,0.006868
pembelajaran berbasis projek,PjBL,47,157,4,0.452479,0.502473,3135.136338,0,0,0.151533,0.151533,0.008605
pembelajaran berdiferensiasi,diferensiasi,26,61,4,0.409346,0.449391,631.640575,0,0,0.093177,0.093177,0.004715
berbicara,berbicara,36,66,4,0.432806,0.476598,2593.92491,5,0,0.079391,0.079391,0.007178
keterampilan berbicara,,23,41,4,0.411268,0.44825,623.216969,5,0,0.066749,0.066748,0.004511
motivasi belajar,motivasi belajar,54,97,4,0.472492,0.522451,6433.418243,3,0,0.144957,0.144957,0.010636
berpikir kreatif,berpikir kreatif,19,63,4,0.410497,0.446347,210.874544,0,0,0.090252,0.090253,0.00339
cerita bergambar,cerita bergambar,14,51,5,0.376936,0.409209,625.120077,3,0,0.038818,0.038818,0.002973
kurikulum 2022,,7,28,5,0.34326,0.370129,5.975316,1,0,0.027297,0.027297,0.001509
anak,,12,30,4,0.339798,0.367199,210.474553,2,0,0.01356,0.01356,0.002801
iman,iman,24,65,4,0.404059,0.4414,1462.06514,2,0,0.040396,0.040396,0.005234
problem based learning,PBL,71,139,4,0.469957,0.534247,5338.758071,0,0,0.216092,0.216092,0.012361
buku,buku,23,53,5,0.388988,0.428805,1205.21395,3,0,0.046737,0.046737,0.00481
