Source,Target,Type,Id,Label,Weight,MMNT-EdgeType
BK,PAK,Undirected,2199,Prodi-Prodi,0.007042,Prodi<--->Prodi
BK,PBI,Undirected,2200,Prodi-Prodi,0.007808,Prodi<--->Prodi
BK,PBSI,Undirected,2201,Prodi-Prodi,0.006515,Prodi<--->Prodi
BK,PBio,Undirected,2202,Prodi-Prodi,0.014181,Prodi<--->Prodi
BK,PE Akuntansi,Undirected,2203,Prodi-Prodi,0.018852,Prodi<--->Prodi
BK,PE Ekonomi,Undirected,2204,Prodi-Prodi,0.011884,Prodi<--->Prodi
BK,PFis,Undirected,2205,Prodi-Prodi,0.012459,Prodi<--->Prodi
BK,PGSD,Undirected,2206,Prodi-Prodi,0.003848,Prodi<--->Prodi
BK,PKim,Undirected,2207,Prodi-Prodi,0.001297,Prodi<--->Prodi
BK,PMat,Undirected,2208,Prodi-Prodi,0.002861,Prodi<--->Prodi
BK,PSej,Undirected,2209,Prodi-Prodi,0.005655,Prodi<--->Prodi
PAK,PBI,Undirected,2210,Prodi-Prodi,0.011607,Prodi<--->Prodi
PAK,PBSI,Undirected,2211,Prodi-Prodi,0.014638,Prodi<--->Prodi
PAK,PBio,Undirected,2212,Prodi-Prodi,0.016756,Prodi<--->Prodi
PAK,PE Akuntansi,Undirected,2213,Prodi-Prodi,0.010302,Prodi<--->Prodi
PAK,PE Ekonomi,Undirected,2214,Prodi-Prodi,0.010603,Prodi<--->Prodi
PAK,PFis,Undirected,2215,Prodi-Prodi,0.006868,Prodi<--->Prodi
PAK,PGSD,Undirected,2216,Prodi-Prodi,0.015276,Prodi<--->Prodi
PAK,PKim,Undirected,2217,Prodi-Prodi,0.004934,Prodi<--->Prodi
PAK,PMat,Undirected,2218,Prodi-Prodi,0.007924,Prodi<--->Prodi
PAK,PSej,Undirected,2219,Prodi-Prodi,0.023674,Prodi<--->Prodi
PBI,PBSI,Undirected,2220,Prodi-Prodi,0.051227,Prodi<--->Prodi
PBI,PBio,Undirected,2221,Prodi-Prodi,0.036808,Prodi<--->Prodi
PBI,PE Akuntansi,Undirected,2222,Prodi-Prodi,0.038595,Prodi<--->Prodi
PBI,PE Ekonomi,Undirected,2223,Prodi-Prodi,0.018071,Prodi<--->Prodi
PBI,PFis,Undirected,2224,Prodi-Prodi,0.008528,Prodi<--->Prodi
PBI,PGSD,Undirected,2225,Prodi-Prodi,0.012894,Prodi<--->Prodi
